INFY_Q1_July_22_1 | Moderator
INFY_Q1_July_22_891 | macro level has gone down in the European and U.S. market.
INFY_Q1_July_22_892 | So our work there is proportionally
INFY_Q1_July_22_893 | reduced.
INFY_Q1_July_22_894 | The overall point which I shared earlier, we see some slowing in decision making but
INFY_Q1_July_22_895 | nonetheless the pipeline remains today in a good position and that allows us to increase the
INFY_Q1_July_22_896 | guidance.
INFY_Q1_July_22_897 | Ritesh Rathod
INFY_Q1_July_22_898 | Maybe last one on your deal wins on LTM basis, your deal wins are down sharply if you see last
INFY_Q1_July_22_899 | three, four quarters versus the previous four quarters and even if I adjust the base because of the
INFY_Q1_July_22_900 | high value deals, which you won in a couple of quarters, four, quarters back, you are still down
INFY_Q1_July_22_901 | minimum by 15%, how do you connect those two dots that your LTM deal wins are down but your
INFY_Q1_July_22_902 | deal pipeline is all time high.
INFY_Q1_July_22_903 | Are the deal conversion ratios dropping then what it was used to be?
INFY_Q1_July_22_904 | Salil Parekh
INFY_Q1_July_22_905 | There on the large deals we always see some volatility because these are deals which were
INFY_Q1_July_22_906 | larger, the ones we share in this number are larger than $50 mn in value.
INFY_Q1_July_22_907 | We do see the pipeline
INFY_Q1_July_22_908 | being larger than where it was and what we referenced in some areas slowing of it, that we do not
INFY_Q1_July_22_909 | see any change in the other parameters of the pipeline.
INFY_Q1_July_22_910 | Ritesh Rathod
INFY_Q1_July_22_911 | Okay thank you wish you good luck.
INFY_Q1_July_22_912 | Moderator
INFY_Q1_July_22_913 | ahead.
INFY_Q1_July_22_914 | Manik Taneja
INFY_Q1_July_22_915 | Thank you for the opportunity and sorry for harping on the margin question once again.
INFY_Q1_July_22_916 | I just
INFY_Q1_July_22_917 | wanted to understand how should we be thinking about the segmental or the improvement in
INFY_Q1_July_22_918 | segmental margins for manufacturing vertical given the sharp drop that we have seen over the last
INFY_Q1_July_22_919 | three quarters and how does that heal in terms of the overall margin outlook?
INFY_Q1_July_22_920 | Thank you.
INFY_Q1_July_22_921 | Nilanjan Roy
INFY_Q1_July_22_922 | Somebody else has asked a similar question and without going into any specifics, we have seen
INFY_Q1_July_22_923 | that growth coming out of a large deal in manufacturing and like you said as we look at the tenure
INFY_Q1_July_22_924 | of these large deals in some cases they start off with lower than portfolio margins because clients
INFY_Q1_July_22_925 | may ask for savings upfront but we have already started plan in terms of over quarter-on-quarters
INFY_Q1_July_22_926 | what do we need to do to bring back profitability because from day one clients come to us because
INFY_Q1_July_22_927 | they know we can optimize the cost structure.
INFY_Q1_July_22_928 | So that is something which is generically what we
INFY_Q1_July_22_929 | have been doing and since we started the large deal strategy and we have seen margin
INFY_Q1_July_22_930 | improvements over that period.
INFY_Q1_July_22_931 | So I think we are quite confident of the future profile of these
INFY_Q1_July_22_932 | businesses.
INFY_Q1_July_22_933 | Manik Taneja
INFY_Q1_July_22_934 | Sure thank you.
INFY_Q1_July_22_935 | Moderator
INFY_Q1_July_22_936 | ahead.
INFY_Q1_July_22_937 | Apurva Prasad
INFY_Q1_July_22_938 | Thanks for taking my question.
INFY_Q1_July_22_939 | Salil this is on mega deals while the industry frequency tends to be
INFY_Q1_July_22_940 | low and it has been a while for Infosys it will be good to know your comments on mega deals from
INFY_Q1_July_22_941 | a pipeline perspective and secondly on pricing how is the ability to get price increase versus last
INFY_Q1_July_22_942 | quarter do you see any changes to that?
INFY_Q1_July_22_943 | Salil Parekh
INFY_Q1_July_22_944 | From the mega deals, I think again we do not share anything specific in terms of what we publish.
INFY_Q1_July_22_945 | The color from our side is we have mega deals in our pipeline, if that will give you a context.
INFY_Q1_July_22_946 | On the pricing, we have seen pricing currently holding in our deal values for Q1.
INFY_Q1_July_22_947 | My sense is we
INFY_Q1_July_22_948 | have seen examples that Nilanjan was sharing earlier where we are working, we have worked with
INFY_Q1_July_22_949 | clients to demonstrate to them the impact of compensation increases and that has translated to
INFY_Q1_July_22_950 | COLA or price benefits.
INFY_Q1_July_22_951 | We have had examples where we have had increases, which are related
INFY_Q1_July_22_952 | to the digital high value work that we are driving for clients.
INFY_Q1_July_22_953 | We now have to make sure we take
INFY_Q1_July_22_954 | that across a whole portfolio and see the benefits coming into our business.
INFY_Q1_July_22_955 | Typically the salary
INFY_Q1_July_22_956 | increase happens at a periodic time and these things where we have not seen a high inflation
INFY_Q1_July_22_957 | environment like this for over 40 years in the western markets that takes a longer time.
INFY_Q1_July_22_958 | That is
INFY_Q1_July_22_959 | what as Nilanjan shared is part of what we have put in place to support our margin as we go
INFY_Q1_July_22_960 | ahead.
INFY_Q1_July_22_961 | Apurva Prasad
INFY_Q1_July_22_962 | Thank you for that.
INFY_Q1_July_22_963 | Moderator
INFY_Q1_July_22_964 | Thank you.
INFY_Q1_July_22_965 | Ladies and gentlemen that was the last question.
INFY_Q1_July_22_966 | I now hand the conference over to
INFY_Q1_July_22_967 | the management for closing comments.
INFY_Q1_July_22_968 | Salil Parekh
INFY_Q1_July_22_969 | points; first we have had industry leading growth in Q1, 5.5% quarterly, 21.4% year-on-year.
INFY_Q1_July_22_970 | We
INFY_Q1_July_22_971 | clearly see a tremendous market share gain driven primarily by the strength of our digital and
INFY_Q1_July_22_972 | cloud - cobalt capability set that is resonating with our clients.
INFY_Q1_July_22_973 | We highlighted there are pockets of
INFY_Q1_July_22_974 | weakness and we are aware of the environment around us.
INFY_Q1_July_22_975 | We see in our pipeline both growth
INFY_Q1_July_22_976 | opportunities in digital cloud and cost opportunities in automation.
INFY_Q1_July_22_977 | With all of that, we increase the
INFY_Q1_July_22_978 | growth guidance for the full year.
INFY_Q1_July_22_979 | We are now seeing attrition coming down on a quarterly basis.
INFY_Q1_July_22_980 | We see many of the initiatives we
INFY_Q1_July_22_981 | put in place starting to create some impact.
INFY_Q1_July_22_982 | We have levers for the margin, several that Nilanjan
INFY_Q1_July_22_983 | shared, large programs will transition to steady state, COLA because of increases in
INFY_Q1_July_22_984 | compensation costs to pricing, pyramid adjustments as we have college hires joining the
INFY_Q1_July_22_985 | production environment, subcontractor usage and then several others on the cost side.
INFY_Q1_July_22_986 | Given all of
INFY_Q1_July_22_987 | that we feel we are already well positioned to work with clients on their growth and cost
INFY_Q1_July_22_988 | opportunities and have a margin profile that is something that sustains the high margin approach
INFY_Q1_July_22_989 | of the company.
INFY_Q1_July_22_990 | We are looking forward to this year with strength and optimism.
INFY_Q1_July_22_991 | Moderator
INFY_Q1_July_22_992 | Thank you members of the management.
INFY_Q1_July_22_993 | Ladies and gentlemen on behalf of Infosys that
