INFY_Q4_April_22_1 | Moderator
INFY_Q4_April_22_894 | we have tremendous activity across all these sizes, we have a very robust overall pipeline
INFY_Q4_April_22_895 | and also a very robust conversion with net new which also feeds a little bit into the earlier
INFY_Q4_April_22_896 | discussion on our revenue growth guidance.
INFY_Q4_April_22_897 | Kumar Rakesh
INFY_Q4_April_22_898 | Great one final thing, I think I heard that you talk about 85,000 fresher hiring which we
INFY_Q4_April_22_899 | have done this fiscal year any target which we have set for next fiscal year.
INFY_Q4_April_22_900 | Salil Parekh
INFY_Q4_April_22_901 | For next year's campus recruiting we have not communicated that beyond saying that we
INFY_Q4_April_22_902 | will do more than 50,000 campus recruits for next year.
INFY_Q4_April_22_903 | As we go through the year we will
INFY_Q4_April_22_904 | communicate more on that but today we see an active campus recruitment program.
INFY_Q4_April_22_905 | Kumar Rakesh
INFY_Q4_April_22_906 | Got it, thanks for that, I will fall back in the queue.
INFY_Q4_April_22_907 | Moderator
INFY_Q4_April_22_908 | Please go ahead.
INFY_Q4_April_22_909 | Sandeep Shah
INFY_Q4_April_22_910 | Thanks for the opportunity.
INFY_Q4_April_22_911 | Most of the questions are answered.
INFY_Q4_April_22_912 | Just wanted to
INFY_Q4_April_22_913 | understand the gap between the utilization including trainee and excluding trainees is as
INFY_Q4_April_22_914 | big as 700 basis points and we are adding freshers for last so many quarters and with that
INFY_Q4_April_22_915 | you are also expecting subcontracting cost savings, is it fair to say second half of FY2023
INFY_Q4_April_22_916 | margin may have more upward bias?
INFY_Q4_April_22_917 | Pricing, with a lag may also be a tailwind versus first
INFY_Q4_April_22_918 | half?
INFY_Q4_April_22_919 | Nilanjan Roy
INFY_Q4_April_22_920 | Yes, these trainees have to go through the whole Mysore stint, then they go to the bench,
INFY_Q4_April_22_921 | they get reskilled on specialty skills, and then we lead them into production.
INFY_Q4_April_22_922 | So it takes
INFY_Q4_April_22_923 | some time as well and which is why utilization excluding trainees and including trainees
INFY_Q4_April_22_924 | you see the gap.
INFY_Q4_April_22_925 | We have an increase in the overall trainee count as well between
INFY_Q4_April_22_926 | quarter-to-quarter who have not been deployed in projects.
INFY_Q4_April_22_927 | But from a margin perspective
INFY_Q4_April_22_928 | I am not sure this is a big part of the headwind of H1vs.
INFY_Q4_April_22_929 | H2.
INFY_Q4_April_22_930 | I think the H1 impact because
INFY_Q4_April_22_931 | of the comp increase is upfront one which happens every year and you can go back 2
INFY_Q4_April_22_932 | years and see that as well, but overall for the year at 21% to 23% we are quite
INFY_Q4_April_22_933 | comfortable.
INFY_Q4_April_22_934 | Sandeep Shah
INFY_Q4_April_22_935 | And just a clarification Nilanjan, just further to what Ravi has asked.
INFY_Q4_April_22_936 | So, even if you look at
INFY_Q4_April_22_937 | the revenue growth excluding third party has marginal decline but at the same time you
INFY_Q4_April_22_938 | are also saying the volumes have gone up, so is it the offshore effort in this quarter has
INFY_Q4_April_22_939 | not actually gone down so why is the volume growth not getting reflected in the revenue
INFY_Q4_April_22_940 | growth ex pass through as a whole.
INFY_Q4_April_22_941 | So is it the realization in this quarter slightly lower?
INFY_Q4_April_22_942 | Nilanjan Roy
INFY_Q4_April_22_943 | No, we have some routine puts and takes, one is always if you go back you will always
INFY_Q4_April_22_944 | see the seasonality due to working days.
INFY_Q4_April_22_945 | The second one is the COVID impact in the
INFY_Q4_April_22_946 | initial part of the year; and the third one is the one contractual provision which we made
INFY_Q4_April_22_947 | for a client.
INFY_Q4_April_22_948 | So I think these are the areas due to which you are not seeing that volume
INFY_Q4_April_22_949 | benefits flowing into revenue.
INFY_Q4_April_22_950 | Like Salil also said, we have seen strong sequential
INFY_Q4_April_22_951 | quarterly volumes.
INFY_Q4_April_22_952 | Moderator
INFY_Q4_April_22_953 | Thank you.
INFY_Q4_April_22_954 | Ladies and gentlemen that was the last question for today.
INFY_Q4_April_22_955 | I now hand the
INFY_Q4_April_22_956 | conference over to the management for closing comments.
INFY_Q4_April_22_957 | Salil Parekh
INFY_Q4_April_22_958 | discussed and mentioned.
INFY_Q4_April_22_959 | First FY2022 was an extremely strong year for us – close to
INFY_Q4_April_22_960 | 20% growth, 23% margin.
INFY_Q4_April_22_961 | We are clearly taking market share and really connecting very
INFY_Q4_April_22_962 | strongly with our clients for all the digital and cloud work.
INFY_Q4_April_22_963 | As we go ahead we want to focus on the ever expanding opportunity set in cloud, digital,
INFY_Q4_April_22_964 | data, analytics, automation, and in doing that we want to make sure that we remain a
INFY_Q4_April_22_965 | leader in the pack and continue the market share taking that we have been doing.
INFY_Q4_April_22_966 | We also
INFY_Q4_April_22_967 | want to focus on our employees with increased engagement and increased methods of
INFY_Q4_April_22_968 | working with their compensation increases and career progressions.
INFY_Q4_April_22_969 | Putting all of that
INFY_Q4_April_22_970 | together we come to a growth guidance of 13% to 15% for this financial year 2023 and a
INFY_Q4_April_22_971 | margin guidance of 21% to 23%.
INFY_Q4_April_22_972 | We have a strong outlook and we look forward to
INFY_Q4_April_22_973 | working with our clients and employees for this outlook to be delivered in financial year
INFY_Q4_April_22_974 | 2023.
INFY_Q4_April_22_975 | one-on-ones in the quarter.
INFY_Q4_April_22_976 | Take care.
INFY_Q4_April_22_977 | Moderator
INFY_Q4_April_22_978 | Thank you very much members of the management.
INFY_Q4_April_22_979 | Ladies and gentlemen on behalf of
INFY_Q4_April_22_980 | disconnect your lines.
