index,sentence,neg,neu,pos,compound
797,"So, there is no",0.423,0.577,0.0,-0.296
798,"historical correlation in saying whether the large deals are dilutive, because we continue working",0.0,1.0,0.0,0.0
799,on taking out costs from the system and that gets factored into our entire process.,0.0,1.0,0.0,0.0
800,We look at how,0.0,1.0,0.0,0.0
801,"we are going to optimize onsite offshore, many of these projects require dramatic automation, we",0.0,0.814,0.186,0.4939
802,"can inject that through all our services which we are providing, we know how the pyramid works.",0.0,1.0,0.0,0.0
803,So these are the things which we know works over the lifetime of these large deals and that is,0.0,1.0,0.0,0.0
804,something we know we can deploy.,0.0,1.0,0.0,0.0
805,"So that is something, without getting specifically into",0.0,1.0,0.0,0.0
806,"manufacturing, what we do well.",0.0,0.656,0.344,0.2732
807,Pankaj Kapoor,0.0,1.0,0.0,0.0
808,Got it.,0.0,1.0,0.0,0.0
809,Thank you and wish you all the best.,0.0,0.347,0.653,0.8555
810,Moderator,0.0,1.0,0.0,0.0
811,ahead.,0.0,1.0,0.0,0.0
812,Gaurav Rateria,0.0,1.0,0.0,0.0
813,Good morning.,0.0,0.256,0.744,0.4404
814,Thank you for taking my question.,0.0,0.667,0.333,0.3612
815,So firstly is there any difference in the client,0.0,1.0,0.0,0.0
816,decision making behavior in U.S. versus European clients and the reason is that I am asking is,0.0,1.0,0.0,0.0
817,"U.S. is seeing fair bit of broad-based growth across segments but when you look at Europe, there",0.0,0.813,0.187,0.3506
818,"is a weakness specifically in retail and communication vertical whereas the other two verticals,",0.177,0.823,0.0,-0.4215
819,"energy, Hi-Tech has grown very, very well.",0.0,0.512,0.488,0.5819
820,So just trying to understand are there any client,0.0,1.0,0.0,0.0
821,specific pockets especially in Europe where you kind of see decision making behavior has,0.0,1.0,0.0,0.0
822,changed compared to the U.S. market?,0.0,1.0,0.0,0.0
823,Salil Parekh,0.0,1.0,0.0,0.0
824,Thanks for that question.,0.0,0.508,0.492,0.4404
825,Today we are not seeing something which is more geography based as,0.0,1.0,0.0,0.0
826,you are describing.,0.0,1.0,0.0,0.0
827,"We see something which is more globally industry-based and client based, as",0.0,1.0,0.0,0.0
828,"you know well is mainly U.S, Europe and Australia.",0.0,0.792,0.208,0.2732
829,So not so much color on which is more,0.0,1.0,0.0,0.0
830,geography related.,0.0,1.0,0.0,0.0
831,Gaurav Rateria,0.0,1.0,0.0,0.0
832,"Second question on margins, your margin outlook at the lower end - you explained very well the",0.112,0.766,0.122,0.0498
833,"supply side and cost related factors which has led to this, but is there also an element of",0.0,1.0,0.0,0.0
834,"expectation of pricing increase that has been tapered down, which has led to you to now take the",0.0,0.881,0.119,0.3182
835,margin outlook to the lower end and is it fair to say that with all the cost levers that you have in,0.09,0.816,0.094,0.0258
836,place the exit margin should be better than the lower end of the guidance?,0.129,0.702,0.17,0.1779
837,Thank you.,0.0,0.286,0.714,0.3612
838,Nilanjan Roy,0.0,1.0,0.0,0.0
839,I think when we do our margins forecast with a combination of factors that we look at and that,0.0,1.0,0.0,0.0
840,equation keeps on changing and it is more dynamic.,0.0,0.734,0.266,0.4391
841,"What happened in the previous quarter, what",0.0,1.0,0.0,0.0
842,"do we see as outlook, what is happening on subcon, wage inflation - so that mix continues to",0.0,1.0,0.0,0.0
843,change and evolve.,0.0,1.0,0.0,0.0
844,Sometimes we have to push harder on some pedals in terms of accelerating,0.0,1.0,0.0,0.0
845,some programs.,0.0,1.0,0.0,0.0
846,And then going back to the level where we are today at 20% and we are saying,0.0,1.0,0.0,0.0
847,"we will be at the bottom end of 21%, I think that should give you a good sense of the margin",0.0,0.873,0.127,0.4404
848,trajectory for the rest of the year.,0.0,1.0,0.0,0.0
849,Gaurav Rateria,0.0,1.0,0.0,0.0
850,Thank you.,0.0,0.286,0.714,0.3612
851,Moderator,0.0,1.0,0.0,0.0
852,ahead.,0.0,1.0,0.0,0.0
853,Ritesh Rathod,0.0,1.0,0.0,0.0
854,Just on this margin within a quarter you have to lower your guidance on the margin side so this is,0.104,0.896,0.0,-0.296
855,"despite rupee depreciation benefit, despite attrition coming down in last two quarters.",0.184,0.816,0.0,-0.357
856,So what has,0.0,1.0,0.0,0.0
857,"surprised internally in your expectations, so that you have to bring it down to the lower end?",0.115,0.785,0.099,-0.0772
858,Nilanjan Roy,0.0,1.0,0.0,0.0
859,"Yes, I think I just mentioned this is a very dynamic and moving forecast completely.",0.0,0.699,0.301,0.6801
860,What is the,0.0,1.0,0.0,0.0
861,"impact of attrition, how much wage hikes will come in, new hires - it is very dynamic, how the",0.0,0.862,0.138,0.4391
862,pricing plays out.,0.0,0.5,0.5,0.25
863,"So, this is a very fluid situation, but the 21% to 23% band we said, we are within",0.0,1.0,0.0,0.0
864,that but of course at the bottom end of it.,0.0,1.0,0.0,0.0
865,We are committed from where we are today at 20% to do,0.0,0.84,0.16,0.2732
866,"all our various cost optimizations, factoring the cost impacts of what we see in terms of wage",0.0,0.894,0.106,0.2263
867,inflation there could be potential benefits of the rupee etc.,0.0,0.776,0.224,0.3818
868,So it is a combination of all this into the,0.0,1.0,0.0,0.0
869,forecast.,0.0,1.0,0.0,0.0
870,Ritesh Rathod,0.0,1.0,0.0,0.0
871,What would have been the bigger surprise element?,0.0,0.769,0.231,0.2732
872,would it be the wage or would it be the pricing,0.0,1.0,0.0,0.0
873,benefit not coming through?,0.0,0.5,0.5,0.4588
874,Any one highlight compared to what you expected at the start of the,0.0,0.833,0.167,0.34
875,year?,0.0,1.0,0.0,0.0
876,Nilanjan Roy,0.0,1.0,0.0,0.0
877,It is a combination of various things and I would not say surprise.,0.131,0.869,0.0,-0.2057
878,"Like I said, it is a fluid situation",0.0,0.737,0.263,0.3612
879,and we have to remain agile.,0.0,1.0,0.0,0.0
880,That is more important rather than anything else.,0.0,0.77,0.23,0.2716
881,Ritesh Rathod,0.0,1.0,0.0,0.0
882,"Coming to pockets of weakness which is pointed out in retail, mortgages, can you give some color",0.149,0.851,0.0,-0.4215
883,"are clients taking a pause in decision making, are the new deals not getting converted or are the",0.0,1.0,0.0,0.0
884,"existing deals which have been moving, they are not getting ramped up?",0.0,1.0,0.0,0.0
885,What is the exact sense,0.0,1.0,0.0,0.0
886,on the business over there?,0.0,1.0,0.0,0.0
887,Salil Parekh,0.0,1.0,0.0,0.0
888,"There within the areas of that pockets that we described, there we see a slowing.",0.0,1.0,0.0,0.0
889,"For example, if",0.0,1.0,0.0,0.0
890,you look at the mortgage situation the volume there in the market meaning the client volume as a,0.0,1.0,0.0,0.0
891,macro level has gone down in the European and U.S. market.,0.0,1.0,0.0,0.0
892,So our work there is proportionally,0.0,1.0,0.0,0.0
893,reduced.,0.0,1.0,0.0,0.0
894,"The overall point which I shared earlier, we see some slowing in decision making but",0.0,0.892,0.108,0.1779
895,nonetheless the pipeline remains today in a good position and that allows us to increase the,0.0,0.729,0.271,0.6369
896,guidance.,0.0,1.0,0.0,0.0
897,Ritesh Rathod,0.0,1.0,0.0,0.0
898,"Maybe last one on your deal wins on LTM basis, your deal wins are down sharply if you see last",0.0,0.709,0.291,0.8126
899,"three, four quarters versus the previous four quarters and even if I adjust the base because of the",0.0,1.0,0.0,0.0
900,"high value deals, which you won in a couple of quarters, four, quarters back, you are still down",0.0,0.724,0.276,0.7269
901,"minimum by 15%, how do you connect those two dots that your LTM deal wins are down but your",0.0,0.885,0.115,0.3291
902,deal pipeline is all time high.,0.0,1.0,0.0,0.0
903,Are the deal conversion ratios dropping then what it was used to be?,0.0,1.0,0.0,0.0
904,Salil Parekh,0.0,1.0,0.0,0.0
905,There on the large deals we always see some volatility because these are deals which were,0.0,1.0,0.0,0.0
906,"larger, the ones we share in this number are larger than $50 mn in value.",0.0,0.67,0.33,0.5994
907,We do see the pipeline,0.0,1.0,0.0,0.0
908,"being larger than where it was and what we referenced in some areas slowing of it, that we do not",0.0,1.0,0.0,0.0
909,see any change in the other parameters of the pipeline.,0.0,1.0,0.0,0.0
910,Ritesh Rathod,0.0,1.0,0.0,0.0
911,Okay thank you wish you good luck.,0.0,0.133,0.867,0.9001
912,Moderator,0.0,1.0,0.0,0.0
913,ahead.,0.0,1.0,0.0,0.0
914,Manik Taneja,0.0,1.0,0.0,0.0
915,Thank you for the opportunity and sorry for harping on the margin question once again.,0.07,0.645,0.285,0.6124
916,I just,0.0,1.0,0.0,0.0
917,wanted to understand how should we be thinking about the segmental or the improvement in,0.0,0.824,0.176,0.4588
918,segmental margins for manufacturing vertical given the sharp drop that we have seen over the last,0.123,0.877,0.0,-0.2732
919,three quarters and how does that heal in terms of the overall margin outlook?,0.0,1.0,0.0,0.0
920,Thank you.,0.0,0.286,0.714,0.3612
921,Nilanjan Roy,0.0,1.0,0.0,0.0
922,"Somebody else has asked a similar question and without going into any specifics, we have seen",0.0,1.0,0.0,0.0
923,that growth coming out of a large deal in manufacturing and like you said as we look at the tenure,0.0,0.779,0.221,0.6249
924,of these large deals in some cases they start off with lower than portfolio margins because clients,0.121,0.879,0.0,-0.296
925,may ask for savings upfront but we have already started plan in terms of over quarter-on-quarters,0.0,1.0,0.0,0.0
926,what do we need to do to bring back profitability because from day one clients come to us because,0.0,0.896,0.104,0.2732
927,they know we can optimize the cost structure.,0.0,0.686,0.314,0.4939
928,So that is something which is generically what we,0.0,1.0,0.0,0.0
929,have been doing and since we started the large deal strategy and we have seen margin,0.0,1.0,0.0,0.0
930,improvements over that period.,0.0,0.566,0.434,0.3182
931,So I think we are quite confident of the future profile of these,0.0,0.775,0.225,0.5413
932,businesses.,0.0,1.0,0.0,0.0
933,Manik Taneja,0.0,1.0,0.0,0.0
934,Sure thank you.,0.0,0.172,0.828,0.5859
935,Moderator,0.0,1.0,0.0,0.0
936,ahead.,0.0,1.0,0.0,0.0
937,Apurva Prasad,0.0,1.0,0.0,0.0
938,Thanks for taking my question.,0.0,0.58,0.42,0.4404
939,Salil this is on mega deals while the industry frequency tends to be,0.0,1.0,0.0,0.0
940,low and it has been a while for Infosys it will be good to know your comments on mega deals from,0.088,0.792,0.121,0.2023
941,a pipeline perspective and secondly on pricing how is the ability to get price increase versus last,0.0,0.765,0.235,0.5574
942,quarter do you see any changes to that?,0.0,1.0,0.0,0.0
943,Salil Parekh,0.0,1.0,0.0,0.0
944,"From the mega deals, I think again we do not share anything specific in terms of what we publish.",0.095,0.905,0.0,-0.2235
945,"The color from our side is we have mega deals in our pipeline, if that will give you a context.",0.0,1.0,0.0,0.0
946,"On the pricing, we have seen pricing currently holding in our deal values for Q1.",0.0,0.838,0.162,0.4019
947,My sense is we,0.0,1.0,0.0,0.0
948,"have seen examples that Nilanjan was sharing earlier where we are working, we have worked with",0.0,0.843,0.157,0.4215
949,clients to demonstrate to them the impact of compensation increases and that has translated to,0.0,1.0,0.0,0.0
950,COLA or price benefits.,0.0,0.536,0.464,0.3818
951,"We have had examples where we have had increases, which are related",0.0,1.0,0.0,0.0
952,to the digital high value work that we are driving for clients.,0.0,0.821,0.179,0.34
953,We now have to make sure we take,0.0,0.753,0.247,0.3182
954,that across a whole portfolio and see the benefits coming into our business.,0.0,0.822,0.178,0.3818
955,Typically the salary,0.0,1.0,0.0,0.0
956,increase happens at a periodic time and these things where we have not seen a high inflation,0.0,0.874,0.126,0.3182
957,environment like this for over 40 years in the western markets that takes a longer time.,0.0,0.857,0.143,0.3612
958,That is,0.0,1.0,0.0,0.0
959,what as Nilanjan shared is part of what we have put in place to support our margin as we go,0.0,0.779,0.221,0.6249
960,ahead.,0.0,1.0,0.0,0.0
961,Apurva Prasad,0.0,1.0,0.0,0.0
962,Thank you for that.,0.0,0.545,0.455,0.3612
963,Moderator,0.0,1.0,0.0,0.0
964,Thank you.,0.0,0.286,0.714,0.3612
965,Ladies and gentlemen that was the last question.,0.0,1.0,0.0,0.0
966,I now hand the conference over to,0.0,0.652,0.348,0.4939
967,the management for closing comments.,0.0,1.0,0.0,0.0
968,Salil Parekh,0.0,1.0,0.0,0.0
969,"points; first we have had industry leading growth in Q1, 5.5% quarterly, 21.4% year-on-year.",0.0,0.833,0.167,0.3818
970,We,0.0,1.0,0.0,0.0
971,clearly see a tremendous market share gain driven primarily by the strength of our digital and,0.0,0.499,0.501,0.901
972,cloud - cobalt capability set that is resonating with our clients.,0.0,1.0,0.0,0.0
973,We highlighted there are pockets of,0.0,1.0,0.0,0.0
974,weakness and we are aware of the environment around us.,0.237,0.763,0.0,-0.4215
975,We see in our pipeline both growth,0.0,0.698,0.302,0.3818
976,opportunities in digital cloud and cost opportunities in automation.,0.0,0.574,0.426,0.6369
977,"With all of that, we increase the",0.0,0.723,0.277,0.3182
978,growth guidance for the full year.,0.0,0.658,0.342,0.3818
979,We are now seeing attrition coming down on a quarterly basis.,0.0,1.0,0.0,0.0
980,We see many of the initiatives we,0.0,1.0,0.0,0.0
981,put in place starting to create some impact.,0.0,0.769,0.231,0.2732
982,"We have levers for the margin, several that Nilanjan",0.0,1.0,0.0,0.0
983,"shared, large programs will transition to steady state, COLA because of increases in",0.0,0.833,0.167,0.34
984,"compensation costs to pricing, pyramid adjustments as we have college hires joining the",0.0,1.0,0.0,0.0
985,"production environment, subcontractor usage and then several others on the cost side.",0.0,1.0,0.0,0.0
986,Given all of,0.0,1.0,0.0,0.0
987,that we feel we are already well positioned to work with clients on their growth and cost,0.0,0.761,0.239,0.5719
988,opportunities and have a margin profile that is something that sustains the high margin approach,0.0,0.843,0.157,0.3818
989,of the company.,0.0,1.0,0.0,0.0
990,We are looking forward to this year with strength and optimism.,0.0,0.573,0.427,0.7717
991,Moderator,0.0,1.0,0.0,0.0
992,Thank you members of the management.,0.0,0.667,0.333,0.3612
993,Ladies and gentlemen on behalf of Infosys that,0.0,1.0,0.0,0.0
